gene	p
ENSFHEP00000013297	0.25110506720181
ENSFHEP00000014732	8.90726947750448e-05
ENSFHEP00000030379	0.305160078103843
ENSFHEP00000023268	0.00901899045425703
ENSFHEP00000022864	0.0817017290365794
ENSFHEP00000006001	0.124966904240312
ENSFHEP00000034360	0.0213295810174406
ENSFHEP00000013348	0.0199793105871793
ENSFHEP00000022400	0.272681975807063
ENSFHEP00000029771	0.0307207972508413
ENSFHEP00000030012	0.0631857242512336
ENSFHEP00000031755	0.00219826573984901
ENSFHEP00000031679	0.0834565563247995
ENSFHEP00000024251	0.225587647895611
ENSFHEP00000028739	0.00447906566697604
ENSFHEP00000028812	0.0715243940126928
ENSFHEP00000031095	0.00149876825579715
ENSFHEP00000025833	0.199992077193583
ENSFHEP00000031112	0.317338162608729
ENSFHEP00000012243	0.0191718969777884
ENSFHEP00000026430	0.0543343931752564
ENSFHEP00000001479	0.0320150510802204
ENSFHEP00000002225	0.012373232817036
ENSFHEP00000011803	0.186697275416501
ENSFHEP00000018542	0.000827821243185947
ENSFHEP00000002911	0.00868354562073732
ENSFHEP00000004963	0.144814871222547
ENSFHEP00000008353	0.333498788269664
ENSFHEP00000017844	0.00788052295116003
ENSFHEP00000029826	0.0294538779745607
ENSFHEP00000010317	0.000397058081245449
ENSFHEP00000014695	0.000844760449363855
ENSFHEP00000004831	0.263673528525451
ENSFHEP00000012241	0.12056865965979
ENSFHEP00000006401	0.106926815679161
ENSFHEP00000000134	0.0226850033182072
ENSFHEP00000026515	0.361981558289676
ENSFHEP00000032342	0.705714020481452
ENSFHEP00000005347	0.0158151564310953
ENSFHEP00000018070	0.0198756730695781
ENSFHEP00000005011	0.0292732682610874
ENSFHEP00000032134	0.254293501397272
ENSFHEP00000018595	0.0523885088237218
ENSFHEP00000000886	0.667054482438148
ENSFHEP00000002428	0.0353910328348063
ENSFHEP00000029178	0.0506626405017011
ENSFHEP00000007628	0.0014100826013755
ENSFHEP00000015486	0.00127823962846737
ENSFHEP00000020925	0.590758356054148
ENSFHEP00000020863	0.00146419608956746
ENSFHEP00000010409	0.000775939149920407
ENSFHEP00000005780	0.11042472559021
ENSFHEP00000020115	0.00767819781907725
ENSFHEP00000023132	0.0174576924498935
ENSFHEP00000011457	0.00244187699531199
ENSFHEP00000003986	0.106859888886296
ENSFHEP00000015614	0.0590227130289426
ENSFHEP00000026966	0.317338162608729
ENSFHEP00000008045	0.000613070159667025
ENSFHEP00000023873	0.00109024357541616
ENSFHEP00000003138	0.977333885761043
ENSFHEP00000011894	0.839958768322779
ENSFHEP00000006502	0.335641554496994
ENSFHEP00000014308	0.118168331436993
ENSFHEP00000015598	0.0101387209950609
ENSFHEP00000031308	0.092502750594194
ENSFHEP00000001582	0.037951056243423
ENSFHEP00000014829	0.363047970562472
ENSFHEP00000024936	0.0700218876299527
ENSFHEP00000007282	0.145066758504379
ENSFHEP00000006768	0.020217653336567
ENSFHEP00000020426	0.00657131272264909
ENSFHEP00000024331	0.110163234466242
ENSFHEP00000022005	0.363276679714741
ENSFHEP00000013140	0.00204716292884688
ENSFHEP00000033736	0.66025597136366
ENSFHEP00000015754	0.0122964811923788
ENSFHEP00000015805	0.339896768326135
ENSFHEP00000008811	0.0158463012717259
ENSFHEP00000010615	0.000477091174028947
ENSFHEP00000030559	0.0578537341017592
ENSFHEP00000025333	0.0473274573528593
ENSFHEP00000024198	0.0503286255910901
ENSFHEP00000030169	0.00847196856530383
ENSFHEP00000027016	0.711338047171606
ENSFHEP00000015361	0.00112428210619432
ENSFHEP00000021714	0.0105529876255942
ENSFHEP00000025705	0.000998577015569675
ENSFHEP00000028078	0.00155823804677208
ENSFHEP00000008315	0.00807663944169301
ENSFHEP00000022199	0.0100237125456399
ENSFHEP00000026323	0.0114350338094083
ENSFHEP00000014813	0.0445449452378214
ENSFHEP00000018671	0.00118873920791308
ENSFHEP00000025561	0.2772434335002
ENSFHEP00000029265	0.0282169335074985
ENSFHEP00000000434	0.00401034165556396
ENSFHEP00000004378	0.0131025495046226
ENSFHEP00000014401	0.0981569402445077
ENSFHEP00000006143	0.00112364757965104
ENSFHEP00000002888	0.00335985543566668
ENSFHEP00000008627	0.0108942370127954
ENSFHEP00000006190	0.0258358737718187
ENSFHEP00000010491	0.0162858499676569
ENSFHEP00000012366	0.0342774926429741
ENSFHEP00000018928	2.04853272388168e-05
ENSFHEP00000001557	0.803723279606349
ENSFHEP00000008342	0.140479084644272
ENSFHEP00000009961	0.0244713533857063
