gene	p
ENSFHEP00000032051	0.0412311878034653
ENSFHEP00000034945	0.00765981358097483
ENSFHEP00000017154	0.0175107758985742
ENSFHEP00000023192	0.00598233564569577
ENSFHEP00000031406	0.130665103384143
ENSFHEP00000018683	0.0306469049561889
ENSFHEP00000001319	0.00204872591762273
ENSFHEP00000027577	0.0239534590040786
ENSFHEP00000006472	0.00191366163265095
ENSFHEP00000012161	0.0164421094238755
ENSFHEP00000000284	0.000611047393657312
ENSFHEP00000006877	0.141276538303748
ENSFHEP00000008948	0.00115619718007555
ENSFHEP00000028078	0.0621324846511264
ENSFHEP00000033450	0.000122312330079061
ENSFHEP00000015431	0.000764436006113163
ENSFHEP00000034106	0.00257936027915668
ENSFHEP00000019610	0.0153853435436533
ENSFHEP00000001594	0.00418209587589782
ENSFHEP00000006883	0.0120115314918407
ENSFHEP00000021058	0.00294276156856937
ENSFHEP00000034439	0.00846941474389597
ENSFHEP00000006768	0.0257917898742375
ENSFHEP00000002800	0.000616098235275793
ENSFHEP00000024383	3.90416361473012e-05
ENSFHEP00000024181	0.032474917674193
ENSFHEP00000018157	0.0127343199654553
ENSFHEP00000027965	0.0216148696402966
ENSFHEP00000028232	0.0100984005351024
ENSFHEP00000032474	0.0022742499806095
ENSFHEP00000009280	0.620652183339041
ENSFHEP00000027202	0.00226395687981151
ENSFHEP00000023528	0.000386229127042412
ENSFHEP00000014312	0.627762931877214
ENSFHEP00000001336	0.00201847674586055
ENSFHEP00000005044	0.00169904409414536
ENSFHEP00000006401	0.073516117132083
ENSFHEP00000024385	0.010740069153926
ENSFHEP00000007392	0.456213130718339
ENSFHEP00000030949	0.00026360465859946
ENSFHEP00000019043	0.0304494359021773
ENSFHEP00000003913	0.000900340469788186
ENSFHEP00000032002	0.0205322193311539
ENSFHEP00000006269	0.0101035604166874
ENSFHEP00000006595	0.00250684156082209
ENSFHEP00000020759	0.000684880609169991
ENSFHEP00000023749	0.00455560602958003
ENSFHEP00000033158	0.0300864059940393
ENSFHEP00000019100	0.0194581803518045
ENSFHEP00000024606	8.34439816970851e-06
ENSFHEP00000000487	0.000305926388359933
ENSFHEP00000002716	0.0399301670693491
ENSFHEP00000003199	0.417085230423441
ENSFHEP00000031836	0.00658395316817103
ENSFHEP00000023492	0.00702165952851217
ENSFHEP00000018364	0.713044088955237
ENSFHEP00000023924	0.00398072950191754
ENSFHEP00000002705	0.00177303330686156
ENSFHEP00000021852	0.0107001525406699
ENSFHEP00000011304	0.0238665735378643
ENSFHEP00000013576	0.00386790719610935
ENSFHEP00000029561	0.129195604029592
ENSFHEP00000014895	0.235402198795513
ENSFHEP00000004128	0.0803402601119517
ENSFHEP00000007646	0.000484456102152736
ENSFHEP00000034735	0.00429654589273016
ENSFHEP00000005477	0.0470819911226466
ENSFHEP00000013297	0.292087195330339
ENSFHEP00000025670	0.00121746102770786
ENSFHEP00000033221	0.000899155968718786
ENSFHEP00000005099	0.222127094578663
ENSFHEP00000014628	0.0345521443170475
ENSFHEP00000010025	0.0158484698756686
ENSFHEP00000034198	0.0250906531554379
ENSFHEP00000014587	0.00019597839598004
ENSFHEP00000007192	0.15016476838044
ENSFHEP00000024689	0.173873983802505
ENSFHEP00000016802	0.00017688087660805
ENSFHEP00000017001	0.00822167341565744
ENSFHEP00000024241	0.0015675122327794
ENSFHEP00000027237	0.00922117049606663
ENSFHEP00000000143	0.0377176638169789
ENSFHEP00000005154	0.00298853595664083
ENSFHEP00000012853	0.00261676608095331
ENSFHEP00000028429	0.000383985954844828
ENSFHEP00000015233	0.00967114975833136
ENSFHEP00000010797	0.0235525906302783
ENSFHEP00000015614	0.0679012825641882
ENSFHEP00000029953	0.00448664925640957
ENSFHEP00000031616	0.00189194717768061
ENSFHEP00000000654	0.000223539671906411
ENSFHEP00000008031	0.0231087712634406
ENSFHEP00000023480	0.0108259686271009
ENSFHEP00000032389	0.110680427647699
ENSFHEP00000025537	0.000471636837409285
ENSFHEP00000021564	0.155805163057322
ENSFHEP00000014532	0.000633430301668404
ENSFHEP00000034761	0.0430102835484259
ENSFHEP00000031694	0.085990065512339
ENSFHEP00000027785	0.00357554053127992
ENSFHEP00000006270	0.994018861924308
ENSFHEP00000001831	0.00127095338354538
ENSFHEP00000022443	0.000626629455483656
ENSFHEP00000023254	0.1246653898925
ENSFHEP00000019052	0.00335773367672689
ENSFHEP00000019990	0.0200104256528915
ENSFHEP00000019291	0.00212049861266868
ENSFHEP00000005948	0.0229423130176942
ENSFHEP00000030036	0.000892996786080112
ENSFHEP00000020164	0.0227697412918194
ENSFHEP00000031579	0.0111430204799461
ENSFHEP00000033498	0.0127143233931907
ENSFHEP00000018455	0.0222624728343961
ENSFHEP00000018980	0.72667035434293
ENSFHEP00000027349	0.0024156380934667
ENSFHEP00000013392	0.00580508982622791
ENSFHEP00000013936	0.180299815344609
ENSFHEP00000019652	0.0047006009201807
ENSFHEP00000033392	0.0142578008887734
ENSFHEP00000026754	0.0516886676827847
ENSFHEP00000023200	0.00865416107472939
ENSFHEP00000009174	0.0149957257636673
ENSFHEP00000014972	0.020448668324727
ENSFHEP00000016072	0.213596140342055
ENSFHEP00000005187	0.00109219627072306
ENSFHEP00000001995	0.0209572033497906
ENSFHEP00000003860	0.0718215308326223
ENSFHEP00000003870	0.00697320967819311
ENSFHEP00000007999	0.000375904226156209
